,actor_list,desc
1,BGH,Big Green Head wants to educate regular people how to do little things that can help the planet and each other. They run an event called Green on the Green. 
2,BPCRC,The Byrd Polar and Climate Research Center is an Office of Research center at The Ohio State University focused on maintaining research excellence and supporting public engagement in polar and climate studies at Ohio State.
3,CC_GS,"Greenspot seeks to inspire, educate, and recognize household, businesses, community groups, neighborhoods that adopt sustainable practices in Columbus."
4,CC_LINKUS,"LinkUS seeks to provide a complete mobility system along key regional corridors, including high capacity and advanced rapid transit, technology solutions, bicycle and pedestrian improvements, and land use changes. The initiative is a response to the challenges facing a growing region, including managing traffic congestion, ensuring equitable access to jobs and housing, promoting economic vitality, and improved sustainability. It builds on numerous previous regional planning efforts, including COTA’s NextGen plan and the MORPC Insight 2050 Corridor Concepts study. Ongoing collaboration with other growth management efforts will be essential to its success."
5,CC_PH,"City of Columbus Public Health is the local public health department for the City of Columbus and they are responsible for enforcing all Ohio codes and laws related to public health, including food safety water safety those types of things."
6,CC_RPD,our mission is to connect the people of our Community through the power of nature wellness and creativity.
7,CCBOR,"Columbus Communtiy Bill of Rights is a non-profit organization focused on protecting Columbus water, soil, and air from oil and gas waste."
8,CCL_COL,The Citizens Climate Lobby primarily works on federal legislation to efficiently and effectively reduce greenhouse gas emissions.
9,CFCMP,"Friends of metro parks is the nonprofit partner to metro parks. We are there to advocate for the metro parks and to enhance like the the metro parks experience, so that the metro parks around for for generations, we want it to stick around."
10,COL_AUD,Columbus Audubon offers a variety of ways for members and other nature enthusiasts and advocates to learn about and enjoy wildlife and to work to protect habitat. 
11,COL_F,The goal of the Columbus Foundation Green Fund is to enhance the quality of life in central Ohio by supporting responsible use of natural resources and ensuring their availability for future generations.
12,CWPS,"Public Service Department for the city of Canal Winchester, Ohio."
13,DEN_U,"educating and informing on issues of sustainability, on multiple levels, including our direct stakeholders, our direct clients, which are the students that come to campus."
14,DUBLIN,The City Government of Dublin works on projects related to the provision of sustainable resources within their community.
15,ELPC,"With their office in Columbus, ELPC (Environmental Law and Policy Center) is well-positioned to advance a transition towards a cleaner renewable energy future and smart energy efficiency. They advocate with regulators, legislators, and business leaders across the Buckeye state. "
16,F_COLMET,"Friends of the Columbus Metroparks is the nonprofit partner to CFCMP, who advocates for the metroparks, aims to enhance the metroparks experience, educate people about the metroparks, all to ensure that the metroparks cotinue to thrive."
17,FACT,"The goal of Friends of Alum Creek and Tributaries is to preserve, protect, and educate people regarding the watershed within central Ohio in the lower Alum Creek watershed."
18,FCPH,"Franklin County Public Health is here to help prevent health issues we are here to help after them, but we really want to ensure that everybody is able to access their best their optimal health and that's what the focus on equity and justice, environmental justice. health justice."
19,FLOW,FLOW is a grassroots watershed group. It is a non-profit whose goal it is to protect the Olentangy for future generations through a variety of projects.
20,FPCBG,We are a public garden and and so plants are first and foremost for us because that's what we do: we try to educate about all things related to plants.
21,FRANK_SWCD,"We're the hub of natural resource conservation in Franklin county. So if there's anything natural resources oriented that's happening, we try to be involved, or at least we tried to know about it, and then we try to engage as many local governments, students, businesses, residents in natural resources."
22,G_BEXLEY,"Green Bexley is an official committee of the City of Bexley that works to assist the city accomplishing its zero waste objective before or by 2040. It does so by educating, engaging, advocating, advising, and liaising, as well as by working with the city on environmental sustainability and other ways."
23,G_GAHAN,"Green Gahanna provides a place for networking of friendly Gahanna outdoor enthusiasts, interested in sustainability, gardening, earth care, natural science, and related topics."
24,GAHAN_PR,Using our public lands or waterways or our national fields are real ways to recreate in different ways.
25,GCBUS,"Through forums and platforms, Green Columbus wants to provide opportunities around sustainability for as many groups and people as possible."
26,GCITY_PS,"Grove City Public Service provides the critical infrastructure services that the city depends on, including the roadways, pavements, traffic signals and streetlights, water storm sewers, and sanitary sewers. They are responsbile for everything that is green and growing in the city, as well as public facilities and  public fleet vehicles that provide service to the community."
27,GIAC,"Grange Insurance Audubon Center is a hub of resources for the general public on environmental topics, and is an example of ecological restoration within Columbus."
28,ICA,"The role of Impact Community Action is to help people in crisis and find a way to self sufficiency, including through their  weatherization department. They help homeowners save money in their utility bills through weatherization, because it's better for the environment, for their health, and  for people economically."
29,LOC_MAT,"Local Matters leads the effort to ensure that everyone in Central Ohio has the knowledge and skill to make healthful, economic food choices. They work with partners to reinforce infrastructure that connects people to food, no matter their zip code or circumstance. They also advocate for and with our community members who prioritize justice and equality throughout our food system. "
30,MCAF_OH,The role of Mom's Clean Air Force Ohio is to mobilize parents and grandparents around  clean air and climate change impacts through advocacy work and coalition-building.
31,MORPC,"MORPC is Central Ohio’s regional council for more than 75 members comprised of counties, cities, villages, townships, and regional organizations. We take pride in bringing communities of all sizes and interests together to collaborate on best practices and plan for the future of our growing region. We do this through a variety of programs, services, projects and initiatives – all with the goal of improving the lives of our residents and making Central Ohio stand out on the world stage."
32,NWTF_OH,"NWTF (National Wild Turkey Federation) Ohio and its partners put resources toward improving the most critical habitat for wildlife and to open access to land for hunting. They are committed to improving water quality, forest health, and restoring grasslands."
33,OAQDA,Ohio Air Quality Development Authority is a non-regulatory independent State Agency that improves air quality and creates jobs.
34,OBCI,OBCI is a network of organizations within Ohio and regionally working together to advance bird conservation.
35,OCCA,Ohio Clinicians for Climate Action seeks to provide trusted voices of healthcare providers to educate and advocate for climate solutions within the State of Ohio.
36,OCF,The goal of Ohio Conservation Federation is to serve as the leading voice for sportsmen conservationists promoting the wise use and stewardship of Ohio’s wildlife and natural resources.
37,ODNR_DF,The Mission of the ODNR Division of Forestry is to promote and apply management for the sustainable use and protection of Ohio’s private and public forest lands.
38,ODNR_DGS,"The ODNR Division of Geological Survey is the state's oldest natural resources agency, established by the state legislature in 1837 as the Geological Survey of Ohio. Commonly referred to as the Ohio Geological Survey, the division has been in continuous operation since 1900 and is one of the seven originally chartered divisions of the Ohio Department of Natural Resources, which was created by the legislature in 1949. Explore the links below to learn more about the ODNR Division of Geological Survey.
"
39,ODNR_DNAP,"The Division of Natural Areas and Preserves was statutorily established in 1975, it is the smallest and the newest of the land-managing divisions within the Department of Natural Resources. The Division operates a statewide system of state nature preserves, natural areas and scenic rivers, protecting the best remaining examples of Ohio's natural heritage. There are three programs in the Division -  nature preserves, scenic rivers, and botanical inventory and monitoring. The Division administers the Natural Areas Act, Endangered Plant Law, Cave Protection Act and Ohio Scenic Rivers Act."
40,ODNR_DW,"The Division of Wildlife’s mission is to conserve and improve fish and wildlife resources and their habitats for sustainable use and appreciation by all. Land acquisition, harvest regulations, and licensing are fundamental tools in the management of Ohio's wildlife resources. The division manages or cooperates in managing over 750,000 acres of diverse wildlife lands throughout the state, plus more than 2 1/4 million acres of water. Division of Wildlife projects are carried out by a team of nearly 400 trained personnel. Funds from Ohio sportsmen and women provide 95 of every 100 dollars which pay for all these activities. The Division faces many challenges in the pursuit of its goal to ensure an abundance of high quality wildlife experiences for today's Ohioans and for future generations."
42,ODT_OES,"The Ohio Department of Transportation - Office of Environmental Services is responsible for providing education, training, technical expertise, and procedure development for ODOT to achieve a safe, efficient and environmentally compliant transportation system.___  OES achieves its goals through the dedicated work of staff who monitor and implement environmental laws, rules and regulations through ODOT's environmental, design, construction and maintenance programs."
43,OEC,"The OEC works for pragmatic solutions to keep Ohio clean and beautiful, and our communities safe. We fight for clean air and water, clean energy, and protected public lands. We hold polluters accountable in court while working with communities and companies that want to invest in a clean, more sustainable direction. For more than 50 years, we have led many of the major environmental policy wins in Ohio."
44,OEFFA,"OEFFA seeks to cultivate a future in which sustainable and organic farmers thrive, local food nourishes our communities, and agricultural practices protect and enhance our environment. They hold an annual conference featuring nationally-recognized speakers and workshops about sustainable agriculture."
