Issue A,Issue B,value,Description
Air Quality , Forests,0.4,"Although healthy forest microclimates are generally resilient to air quality issues, instances of particulate matter and sulfates may impact particular plant species. These air pollutants can enter forests if they are downwind of areas with poor air quality."
Air Quality , Green Infra,0.1,"High levels of ground level ozone or particulate matter can affect growth of vegetation in Green Infrastructure, including native plants or trees, and can shorten their life spans."
Air Quality , Habitat Loss,0.4,"Air pollution has the potential to disrupt terrestrial and aquatic habitat by affecting the plant species that are able to survive in a region. Acid rain, although today it is less of an issue, can dramatically reduce aquatic and terrestrial habitat by creating acidic conditions for plants and causing dead zones in lakes."
Air Quality , Human Health,1,"Air quality issues immensely impact human health. Pregnacies can be impacted, where infant brain development and adolescent lung development are impacted. Adult respiratory conditions becomed worsened with air quality impacts, especially affected are those with asthmatic or cardiovascular conditions. Particulate matter and ozone are primary concerns for human health. "
Air Quality , Invasive Species,0.2,"To a minimal degree, air quality may indirectly allow for invasive plants to spread in systems where natives cannot withstand air pollutants."
Air Quality , Land Use,0.45,Air quality factors often time enter into land use decisions. Federal air quality standards may restrict certain land uses. Poor local air quality might restrict development in cases of poor health or odor. 
Air Quality , Nutrients,0.15,"Sulfur dioxides and nitrogen containing compounds in the atmosphere play into the acidity of rain, therefore alter soil acidity. Differential soil acidity can impact phosphorus solubility and nutrient management programs, and in some cases, can contribute to nutrient loss."
Air Quality , Pests and Path,0.35,"Poor air quality can degrade the health of plants or crops, rendering traditional host plant species more susceptible to invasion by invasive pests or pathogens."
Air Quality , Recreation,0.5,"To a degree, air quality issues affect visitation patterns for green spaces. Especially poor air quality can harm the actual vegetation in a green space."
Air Quality , Restoration,0.15,"The air quality benefits that result from restoration projects could be a secondary, not primary, reason to restore a natural system."
Air Quality , Rising Temps,0.65,"Carbon dioxide (greenhouse gas) and ozone lead to warming temperatures, and poor air quality from nitrogen, sulfate, and aerosol pollutants can lead to cooling temperatures if sunlight becomes blocked."
Air Quality , Soil Erosion,0.1,"In extreme cases only, high levels of air pollution can damage plant life, allowing for erosion to occur in areas without root cover."
Air Quality , Storm Water,0,"PM2.5 or PM10 can be deposited or settled into stormwater in extreme scenarios, although this effect is less direct."
Air Quality , Transportation,0.35,"Poor air quality changes the way people go about their daily lives, including the amount they drive, or whether the choose to ride public transit. More importantly, air quality policies can be designed to filter out air pollution from transportation sources, thereby affecting transportation systems and vehicles."
Air Quality , Tree Mgmt,0.25,"Because some species of trees are incompatible with poor air quality, extreme cases of air quality issues can impact urban forests. This is especially true with high ozone levels, as the ozone oxidizes and eats away at tree leaves. Acid rain is no longer much of a threat to vegetation or urban trees. "
Air Quality , Vulnerable Com,0.85,"Vulnerable populations are historically located downwind of pollutants, which is especially true for people of color in urban areas. These air pollutants cause major health issues for vulnerable populations who are disproportionately exposed. What's more - vulnerable populations often times lack the resources to deal with the problem in terms of health care or political clout."
Air Quality , Warm Season,0.25,"Certain GHGs, like ozone and CO2, contribute to the changing climate and changing warm season. Moreover, air quality is an issue that is a major driver of political environmental change and positive legislation, which can indirectly impact GHG emissions."
Air Quality , Water Quality,0.2,"Airborne heavy metals and particulates may settle and deposit in waterways. This is a means by which dangerous heavy metal pollutants enter waterways, although is of lesser importance."
Forests , Air Quality,0.5,"Forests filter out some contaminants from the air as it passes through, resulting in improved air quality in areas immediately around the forest. Forests also capture CO2, acting as a carbon sink."
Forests , Green Infra,0.15,"Forests have little impact on Green Infrastructure, since forests are typically thought to occur in more rural areas, while GI are urban designs. In an indirect way, forests can inspire people to create green (GI) in and around their own neighborhoods."
Forests , Habitat Loss,0.85,Healthy forests provide an immense amount of habitat. The loss o forests from development leads to the loss of habitat and biodiversity. Healthy forests also promote healthy streams and wetlands.
Forests , Human Health,0.85,"Healthy forests can improve the physical and mental health of people who breathe cleaner air due to the forest's filtration capabilities, are less affected by climate change due to the forest acting as a carbon sink, and have improved mental health when they are able to access nature (i.e. nature deficit disorder)."
Forests , Invasive Species,0.7,"A healthy and diverse forest is better able to fend off invasives. Oftentimes, degraded forests and human activities in forests lead to invasive species thriving. Opened canopies from logging is an invitation for certain invasive plants. "
Forests , Land Use,0.45,"The existence of a forested area can alter the valuation and possibilities for adjacent land uses, so as to either take advantage of forest resources, or to restrict infringement upon the forested land. Human-wildlife conflicts lead to altered land-use decision-making."
Forests , Nutrients,0.8,"Healthy forests are an essential component for the absorption of nutrients. Forests play a key role in nutrient cycling, but may not always occur in areas where there is excess nutrient runoff from human activities."
Forests , Pests and Path,0.85,"The type and diversity of a given forest has much to do with its susceptibility to pest and pathogen invasions. An ash forest, for example, is highly susceptible to the Emerald Ash Borer. Weakened trees are generally more susceptible to pests and pathogens."
Forests , Recreation,1,"Forests provide recreational opportunities as a green space, depending on accessibility."
Forests , Restoration,0.65,"In cases of degraded forest health, there is more motivation for restoration projects. The composition of forests has much to do with the appropriate restoration practices that can or should be taken, as well as constraints on restoration."
Forests , Rising Temps,0.55,"Forests have a noticeable effect on microclimate temperatures due to shading. Globally, forest cover constitutes an effective carbon sink that mitigates temperature rise."
Forests , Soil Erosion,0.85,"Through tree roots and vegetative cover, forests are major preventers of soil erosion. Unhealthy forests due to logging or tree lost from pests allow for erosion."
Forests , Storm Water,1,Forested areas slow down and absorb surface water or stormwater as it passes through. The loss of tree canopy in a forest dampens its ability to slow stormwater.
Forests , Transportation,0.3,The presence of forests may restrict transportation planning so as to restrict infringement. Road shading from forests and trees lengthens the lifespan of road pavement.
Forests , Tree Mgmt,0.35,There are several indirect ways in which forests impact urban forests. Forests can provide a habitat corridor for urban forests or can act as a source of invasives.
Forests , Vulnerable Com,0.45,Forests can provide economic opportunities for some vulnerable populations who may choose to exploit forest resources for livelihoods and jobs.
Forests , Warm Season,0.65,"Because forests sequester carbon, they can moderate and lessen the impacts of the warm season climate changes. However, forests have a drastic effect on an area's microclimate."
Forests , Water Quality,0.95,Forests drastically improve the water quality in adjacent streams by providing filtration and restricting the movement of sediment into streams.
Green Infra , Air Quality,0.45,"When GI projects primarily use native plants or prairie plants, there can be a noticeable improvement in local air quality due to carbon sequestration and filtration. Truly, the amount that GI can impact air quality depends on the scale of the GI."
Green Infra , Forests,0.25,GI has little effect on forests as they are often not located near one another. 
Green Infra , Habitat Loss,0.475,"GI directly provides habitat for certain species, but on a small scale. GI also improves aquatic habitat by limiting the pollutants that enter waterways. "
Green Infra , Human Health,0.75,"GI has been shown to improve mental health by allowing people to access nature. GI also can improve community building and social or emotional health. GI also improves water quality in a watershed, improving human health and recreational opportunities."
Green Infra , Invasive Species,0.25,"Other than the removal of invasive plant species on the structure of the GI, the installation and maintenance of GI has little to do with the spread of invasive speices."
Green Infra , Land Use,0.4,"GI can sometimes be a part of land use planning, or can even be necessitated in certain cases. Due to the cost of GI, engineering land uses may become more difficult or more costly."
Green Infra , Nutrients,0.625,"The ability of a GI to filter out nutrients depends largely on the type of GI (e.g. green roof, rain garden, filter strip), and its location relative to high nutrient inputs. Largely, GI is able to uptake nutrients into plant biomass. "
Green Infra , Pests and Path,0.15,"GI can filter out pathogens that are in stormwater. Rain gardens and green roofs improve biodiversity and resilience in urban ecosystems, improving their ability to fend off pests and pathogens."
Green Infra , Recreation,0.775,GI can sometimes be considered a green space and provide  opportunities for people to enjoy nature.
Green Infra , Restoration,0.45,"As an engineered system that often occurs at a small scale, GI can positively promote and influence restoration projects by acting as a ""regional greenway"" that benefits and encourages restoration activities and the restored systems themselves."
Green Infra , Rising Temps,0.225,"Green Infrastructures limit  urban heat island effects posed by rising temperatures, but have little effect on the globabl phenomenenon of temperature rise due to their small scale. "
Green Infra , Soil Erosion,0.8,"Well-designed GI projects effectively slow down and intercept stormwater, reducing the speed that stormwater travels at on land. Slower and less stormwater that runs over a land means less erosion. This effect is limited to areas adjacent or downhill of the GI project."
Green Infra , Storm Water,1,"Although some types of GI have more of an impact on stormwater than do others, a primary purpose for installing GI is to limit stormwater. "
Green Infra , Transportation,0.475,"Green infrastructure has somewhat of an effect on transportation design, as it often occurs along roads or highways. GI can reduce or improve the walkability, bikability, or drivability of a particular street depending on its design and application."
Green Infra , Tree Mgmt,0.675,"Some managers of GI projects consider maintaining an urban tree canopy to be a type of green infrastructure. Therefore, GI projects can result in an improved urban tree canopy. However, some GI projects, such as rain gardens, require street tree removal."
Green Infra , Vulnerable Com,0.35,"Green Infrastructure alleviates flooding and water quality issues in vulnerable communities to a degree. This depends on the extent of the GI project (size) in vulnerable areas, which often times is minimal to none. In cases where GI does exist in vulnerable communities, it can also serve as a place of healing as a connection to nature."
Green Infra , Warm Season,0.4,"Due to its small scale, GI has little effect on the global phenomenon of the changing warm season climate, although it does have some mitigative microclimate effects on cooling and water retention."
Green Infra , Water Quality,0.925,"Green Infrastructure, depending on its size, is generally very beneficial for water quality in adjacent streams because the infrastructure filters out pollutants and slows down stormwater before it enters streams."
Habitat Loss , Air Quality,0.6,"Loss of habitat, including the loss of vegetation, generally leads to worsened air quality because there is lost air filtration and a lost sink for air pollutants."
Habitat Loss , Forests,0.975,The loss of habitat and ultimate infringement upon existing habitat is hugely detrimental for forest health as existing forests become fragmented and become more susceptible to impacts.
Habitat Loss , Green Infra,0.225,"Without some form of nearby habitat, GI projects may be less successful because there might be a dearth of pollinators or beneficial species, in addition to faster and more stormwater that can be more burdensome for the GI structure."
Habitat Loss , Human Health,0.8,"Lost habitat means less access to nature for humans, which can lead to worsened mental health in addition to less opportunities for phyiscal recreation activities like hiking. Lost habitat also generally means worse air quality which can damage the human body. "
