name,actor_list,desc,type,link,last_updated,coordination_delegate,logo
Ohio State University - Byrd Polar and Climate Research Center,OSU_BPCRC,The Byrd Polar and Climate Research Center is an Office of Research center at The Ohio State University focused on maintaining research excellence and supporting public engagement in polar and climate studies at Ohio State.,University,https://byrd.osu.edu/,"Sep 13th, 2022",TBD,https://byrd.osu.edu/sites/default/files/logos/department-logo.svg
Canal Winchester Public Service,CWPS,"Public Service Department for the city of Canal Winchester, Ohio.",City Government,https://www.canalwinchesterohio.gov/162/Public-Service,"Sep 13th, 2022",TBD,https://www.canalwinchesterohio.gov/ImageRepository/Document?documentID=2074
Citizens Climate Lobby Columbus,CCL_COL,"The Citizens Climate Lobby primarily works on federal legislation to efficiently and effectively reduce greenhouse gas emissions. Citizens Climate Lobby is a climate change organization that exists to create the political will for a livable world by enabling individual breakthroughs in the exercise of personal and political power. (Contact: Donny Murray, CCLColumbusChapter@gmail.com). ",Non-profit,https://citizensclimatelobby.org/chapters/OH_Columbus/,"Sep 13th, 2022",TBD,https://citizensclimatelobby.org/wp-content/uploads/2014/10/CCL-Logo-H2.png
City of Bexley Sustainability,BEX,"In the City of Bexley, the Sustainability Department was created in 2022 to implement the City's sustainability goals, which fall under the City's mission to ""Protect, preserve, and enhance Bexley's natural and developed environment."" Currently, the department is tasked with carrying out the Cities Race to Zero Program, supporting the Environmental Sustainability Advisory Committee in their implementation of the Zero Waste Goal, and preparing future programs including Universal Recycling, restaurant composting, and energy aggregation. (Contact: Elizabeth Ellman, eellman@bexley.org)",City Government,https://bexley.org/sustainability/,"Sep 13th, 2022",TBD,https://bexley.org/wp-content/uploads/2020/09/COB_seal_pms294_fill-shaded.png
City of Columbus - Greenspot,CC_GS,"Columbus GreenSpot inspires, educates, and recognizes households, businesses, nonprofits, and neighborhoods that adopt sustainable practices. Members choose from more than 40 actions they can take to live and operate more sustainably. It is free to join and be a member. Each member gets their own eDashboard where they can track their successes. More than 23,000 members and growing each day. (Contact: David R. Celebrezze, DRCelebrezze@columbus.gov).",City Government,https://www.columbus.gov/greenspot/,"Sep 13th, 2022",TBD,https://new.columbus.gov/files/sharedassets/city/sustainable/greenspot/logo_you_182x180.jpg
City of Columbus - LinkUS,CC_LINKUS,"LinkUS is a collaborative initiative co-sponsored by the City of Columbus, Central Ohio Transit Authority, the Mid-Ohio Regional Planning Commission, and the Franklin County Board of Commissioners. LinkUS seeks to provide a complete mobility system along key regional corridors, including high capacity and advanced rapid transit, technology solutions, bicycle and pedestrian improvements, and land use changes. The initiative is a response to the challenges facing a growing region, including managing traffic congestion, ensuring equitable access to jobs and housing, promoting economic vitality, and improved sustainability. It builds on numerous previous regional planning efforts, including COTA’s NextGen plan and the MORPC Insight 2050 Corridor Concepts study. Ongoing collaboration with other growth management efforts will be essential to its success. (Contacts: Rory McGuiness, ROMcGuiness@columbus.gov; Justin Goodwin, JMGoodwin@columbus.gov).",City Government,https://www.columbus.gov/LinkUS/,"Sep 13th, 2022",TBD,https://www.columbus.gov/uploadedImages/Columbus/Departments/Public_Service/Mobility_Options/LinkUS-logo-Horizontal.png
City of Columbus - Public Health,CC_PH,"City of Columbus Public Health is the local public health department for the City of Columbus and they are responsible for enforcing all Ohio codes and laws related to public health, including food safety water safety those types of things. The mission of Columbus Public Health is to protect health and improve lives in our community. The department is charged with assuring conditions in which people can be healthy. Columbus Public Health is made up of a range of programs providing clinical, environmental, health promotion, and population-based services.",City Government,https://www.columbus.gov/publichealth/,"Sep 13th, 2022",TBD,https://www.columbus.gov/uploadedImages/Columbus/Departments/Public_Health/New_Administrators/Media_Room/COC_Pubhealth_CMYK-AJG-MAYOR.png
Clean Fuels Ohio,CFO,"Clean Fuels Ohio improves air quality and health, reduces environmental pollution, and strengthens Ohio's economy by increasing the use of cleaner, domestic fuels and energy-saving vehicles. (Contact: Nicholas Strata, nstrata@cleanfuelsohio.org).",Non-profit,https://cleanfuelsohio.org/,"Sep 13th, 2022",TBD,https://cleanfuelsohio.org/wp-content/uploads/2023/01/CFO-2023-Logo-White.png
Columbus and Franklin County Metroparks,CFCMP,"Columbus and Franklin County Metro Parks (Metro Parks) is a public agency serving the citizens of Central Ohio by providing a regional system of clean, safe, natural area parks. Metro Parks features 20 outstanding natural area parks with more than 230 miles of trails and over 28,400 acres of land in seven Central Ohio counties.",Special District,https://www.metroparks.net/,"Sep 13th, 2022",TBD,https://www.metroparks.net/wp-content/uploads/2021/11/mp-winter-video-poster.jpg
Columbus Community Bill of Rights,CCBOR,"Columbus Communtiy Bill of Rights is a non-profit organization focused on protecting Columbus water, soil, and air from oil and gas waste. Our organization has organized four campaigns for a Community Bill of Rights to protect the water of the Columbus area from frack waste injection wells in our watershed.",Non-profit,https://columbusbillofrights.org/,"Sep 13th, 2022",TBD,https://columbusbillofrights.org/wp-content/uploads/2019/06/NewBlackLogoNoBG-01.png
