IssueA,IssueB,value,Description
AirQuality,Forests,0.45,"The effect of Air Quality on Forest Health: Although healthy forest microclimates are generally resilient to air quality issues, instances of particulate matter and sulfates may impact particular plant species. These air pollutants can enter forests if they are downwind of areas with poor air quality.       The effect of Forest Health on Air Quality: Forests filter out some contaminants from the air as it passes through, resulting in improved air quality in areas immediately around the forest. Forests also capture CO2, acting as a carbon sink."
AirQuality,GreenInfrastructure,0.275,"The effect of Air Quality on Green Infrastructure: High levels of ground level ozone or particulate matter can affect growth of vegetation in Green Infrastructure, including native plants or trees, and can shorten their life spans.       The effect of Green Infrastructure on Air Quality: When GI projects primarily use native plants or prairie plants, there can be a noticeable improvement in local air quality due to carbon sequestration and filtration. Truly, the amount that GI can impact air quality depends on the scale of the GI."
AirQuality,HabitatLoss,0.5,"The effect of Air Quality on Habitat Loss: Air pollution has the potential to disrupt terrestrial and aquatic habitat by affecting the plant species that are able to survive in a region. Acid rain, although today it is less of an issue, can dramatically reduce aquatic and terrestrial habitat by creating acidic conditions for plants and causing dead zones in lakes.       The effect of Habitat Loss on Air Quality: Loss of habitat, including the loss of vegetation, generally leads to worsened air quality because there is lost air filtration and a lost sink for air pollutants."
AirQuality,Health,0.575,"The effect of Air Quality on Human Health: Air quality issues immensely impact human health. Pregnacies can be impacted, where infant brain development and adolescent lung development are impacted. Adult respiratory conditions becomed worsened with air quality impacts, especially affected are those with asthmatic or cardiovascular conditions. Particulate matter and ozone are primary concerns for human health.        The effect of Human Health on Air Quality: Responses to human health impacts have resulted in federal legislation to improve air quality. Also, healtheier individuals may choose to bike or walk more, leading to less emissions from vehicles."
AirQuality,Invasives,0.125,"The effect of Air Quality on Invasive Species: To a minimal degree, air quality may indirectly allow for invasive plants to spread in systems where natives cannot withstand air pollutants.       The effect of Invasive Species on Air Quality: Should invasive species wipe out native populations of plant species, there could be less air pollution filtration."
AirQuality,LandUse,0.525,"The effect of Air Quality on Land Use: Air quality factors often time enter into land use decisions. Federal air quality standards may restrict certain land uses. Poor local air quality might restrict development in cases of poor health or odor.        The effect of Land Use on Air Quality: Development, especially industrial development, has well-documented adverse effects on air quality from the release of pollutants. Furthermore, suburban sprawl and highways factor into poor air quality."
AirQuality,Nutrients,0.125,"The effect of Air Quality on Nutrient Management: Sulfur dioxides and nitrogen containing compounds in the atmosphere play into the acidity of rain, therefore alter soil acidity. Differential soil acidity can impact phosphorus solubility and nutrient management programs, and in some cases, can contribute to nutrient loss.       The effect of Nutrient Management on Air Quality: Organic nutrients and the transformation of nitrogen compounds into nitrous oxides can be a way in which nutrient applications impact air quality, although this occurs to a lesser extent."
AirQuality,PestsandPathogens,0.275,"The effect of Air Quality on Pests and Pathogensogens: Poor air quality can degrade the health of plants or crops, rendering traditional host plant species more susceptible to invasion by invasive pests or pathogens.       The effect of Pests and Pathogensogens on Air Quality: Pests and pathogens that wipe out tree canopies have the potential to *indirectly* negatively influence air quality through a loss of filtration/sequestration."
AirQuality,Recreation,0.625,"The effect of Air Quality on Recreation and Green Space: To a degree, air quality issues affect visitation patterns for green spaces. Especially poor air quality can harm the actual vegetation in a green space.       The effect of Recreation and Green Space on Air Quality: Green spae areas generally improve air quality due to the filtration abilities of the vegetation."
AirQuality,Restoration,0.1875,"The effect of Air Quality on Restoration: The air quality benefits that result from restoration projects could be a secondary, not primary, reason to restore a natural system.       The effect of Restoration on Air Quality: Restoration sites do not primarily focus on mitigating air quality issues. However, restored areas do have the potential to improve local air quality and pull out air pollutants."
AirQuality,RisingTemps,0.65,"The effect of Air Quality on Rising Temperatures: Carbon dioxide (greenhouse gas) and ozone lead to warming temperatures, and poor air quality from nitrogen, sulfate, and aerosol pollutants can lead to cooling temperatures if sunlight becomes blocked.       The effect of Rising Temperatures on Air Quality: Rising temperatures create favorable conditions for the production of ground-level ozone. Rising temperatures cause a need for people to run AC units, which can release air pollutants."
AirQuality,SoilErosion,0.4125,"The effect of Air Quality on Soil Erosion: In extreme cases only, high levels of air pollution can damage plant life, allowing for erosion to occur in areas without root cover.       The effect of Soil Erosion on Air Quality: Erosion of soil can influence the amount of particulate matter in the air. "
AirQuality,StormWater,0.025,"The effect of Air Quality on Stormwater Management: PM2.5 or PM10 can be deposited or settled into stormwater in extreme scenarios, although this effect is less direct.       The effect of Stormwater Management on Air Quality: Stormwater runoff that takes down trees and floods homes can lead to worse air filtration or even indoor air quality issues from molding."
AirQuality,Transportation,0.675,"The effect of Air Quality on Transportation: Poor air quality changes the way people go about their daily lives, including the amount they drive, or whether the choose to ride public transit. More importantly, air quality policies can be designed to filter out air pollution from transportation sources, thereby affecting transportation systems and vehicles.       The effect of Transportation on Air Quality: A significant portion of air quality issues stem fom vehicle emissions."
AirQuality,TreeManagement,0.425,"The effect of Air Quality on Tree Management: Because some species of trees are incompatible with poor air quality, extreme cases of air quality issues can impact urban forests. This is especially true with high ozone levels, as the ozone oxidizes and eats away at tree leaves. Acid rain is no longer much of a threat to vegetation or urban trees.        The effect of Tree Management on Air Quality: Trees in urban areas filter air pollutants, especially particulate matter. Pine trees emit VOCs (volatile organic carbon compounds) which can be a precursor to ozone problems."
AirQuality,VulnerableCom,0.55,"The effect of Air Quality on Vulnerable Communities: Vulnerable populations are historically located downwind of pollutants, which is especially true for people of color in urban areas. These air pollutants cause major health issues for vulnerable populations who are disproportionately exposed. What's more - vulnerable populations often times lack the resources to deal with the problem in terms of health care or political clout.       The effect of Vulnerable Communities on Air Quality: Vilnerable populations are more likely to contribute to worsened air quality problems because they lack the resources to avoid it. For example, members of vulnerable communities might be more likely to burn their trash, use wood-burning stoves, or drive gas-guzzling cars."
AirQuality,WarmSeason,0.475,"The effect of Air Quality on Warm Season: Certain GHGs, like ozone and CO2, contribute to the changing climate and changing warm season. Moreover, air quality is an issue that is a major driver of political environmental change and positive legislation, which can indirectly impact GHG emissions.       The effect of Warm Season on Air Quality: Increased humidity and daytime temperatures can exacerbate ground-level ozone formation. Precipitation is a strong control over air pollution, therefore the changing warm season climate changes the seasonality of air pollutants."
AirQuality,WaterQuality,0.125,"The effect of Air Quality on Water Quality: Airborne heavy metals and particulates may settle and deposit in waterways. This is a means by which dangerous heavy metal pollutants enter waterways, although is of lesser importance.       The effect of Water Quality on Air Quality: Certain water contaminants or toxins, such as microcystins in HABs, can volatize and enter the air. "
Forests,GreenInfrastructure,0.2,"The effect of Forest Health on Green Infrastructure: Forests have little impact on Green Infrastructure, since forests are typically thought to occur in more rural areas, while GI are urban designs. In an indirect way, forests can inspire people to create green (GI) in and around their own neighborhoods.       The effect of Green Infrastructure on Forest Health: GI has little effect on forests as they are often not located near one another. "
Forests,HabitatLoss,0.9125,The effect of Forest Health on Habitat Loss: Healthy forests provide an immense amount of habitat. The loss o forests from development leads to the loss of habitat and biodiversity. Healthy forests also promote healthy streams and wetlands.       The effect of Habitat Loss on Forest Health: The loss of habitat and ultimate infringement upon existing habitat is hugely detrimental for forest health as existing forests become fragmented and become more susceptible to impacts.
Forests,Health,0.425,"The effect of Forest Health on Human Health: Healthy forests can improve the physical and mental health of people who breathe cleaner air due to the forest's filtration capabilities, are less affected by climate change due to the forest acting as a carbon sink, and have improved mental health when they are able to access nature (i.e. nature deficit disorder).       The effect of Human Health on Forest Health: Healthy people are more likely to access forests."
Forests,Invasives,0.85,"The effect of Forest Health on Invasive Species: A healthy and diverse forest is better able to fend off invasives. Oftentimes, degraded forests and human activities in forests lead to invasive species thriving. Opened canopies from logging is an invitation for certain invasive plants.        The effect of Invasive Species on Forest Health: Invasive species majorly impact forest health and composition by overwhelming and outcompeting native species and reducing habitat quality for other species. Invasives have an easier time taking hold in forests that are already unhealthy."
Forests,LandUse,0.7,"The effect of Forest Health on Land Use: The existence of a forested area can alter the valuation and possibilities for adjacent land uses, so as to either take advantage of forest resources, or to restrict infringement upon the forested land. Human-wildlife conflicts lead to altered land-use decision-making.       The effect of Land Use on Forest Health: Land uses develop into forests and destroy them and can cause fragmentation of forests. Land uses alter forest hydrology and nutrient flow into the forest. Fragmentation is one of the biggest threats to forest health."
Forests,Nutrients,0.45,"The effect of Forest Health on Nutrient Management: Healthy forests are an essential component for the absorption of nutrients. Forests play a key role in nutrient cycling, but may not always occur in areas where there is excess nutrient runoff from human activities.       The effect of Nutrient Management on Forest Health: Nutrients are not usually applied to forest ecosystems, although it is certainly true that nutrients must be available to forest plants for growth. "
Forests,PestsandPathogens,0.925,"The effect of Forest Health on Pests and Pathogensogens: The type and diversity of a given forest has much to do with its susceptibility to pest and pathogen invasions. An ash forest, for example, is highly susceptible to the Emerald Ash Borer. Weakened trees are generally more susceptible to pests and pathogens.       The effect of Pests and Pathogensogens on Forest Health: Invasive pests and pathogens majorly impact forests in that they can cause massive dieoffs and tree mortality, creating unhealthy forests."
Forests,Recreation,1,"The effect of Forest Health on Recreation and Green Space: Forests provide recreational opportunities as a green space, depending on accessibility.       The effect of Recreation and Green Space on Forest Health: Green space areas can act as a habitat cooridor and provide remedies to forest fragmentation. Green spaces improve public awareness and education about forests, which can go a long way in forest protection."
Forests,Restoration,0.7,"The effect of Forest Health on Restoration: In cases of degraded forest health, there is more motivation for restoration projects. The composition of forests has much to do with the appropriate restoration practices that can or should be taken, as well as constraints on restoration.       The effect of Restoration on Forest Health: Restoration reduces one of the most pressing forest issues - fragmentation. Restoration can create or improve forests and forest biodiversity."
Forests,RisingTemps,0.575,"The effect of Forest Health on Rising Temperatures: Forests have a noticeable effect on microclimate temperatures due to shading. Globally, forest cover constitutes an effective carbon sink that mitigates temperature rise.       The effect of Rising Temperatures on Forest Health: Rising temperatures alter forest phenology (timing), causing some species to green up sooner. Rising temperatures create favorable conditions for invasive species to move into forests at higher latitudes. Increased temperatures increase pest and pathogen pressure on forests. Increased temperatures can make living conditions unsuitable for certain plant species."
Forests,SoilErosion,0.775,"The effect of Forest Health on Soil Erosion: Through tree roots and vegetative cover, forests are major preventers of soil erosion. Unhealthy forests due to logging or tree lost from pests allow for erosion.       The effect of Soil Erosion on Forest Health: Soil erosion can significantly impact forest health as tree growth is hampered and there can be less germination of desirable species. Agricultural erosion may force farmers to log and clear their forested land to convert it to new agricultural land."
Forests,StormWater,0.7,"The effect of Forest Health on Stormwater Management: Forested areas slow down and absorb surface water or stormwater as it passes through. The loss of tree canopy in a forest dampens its ability to slow stormwater.       The effect of Stormwater Management on Forest Health: Stormwater is usually well-handled by healthy forests, despite some blowdown of trees from the most intense stormwater."
Forests,Transportation,0.425,"The effect of Forest Health on Transportation: The presence of forests may restrict transportation planning so as to restrict infringement. Road shading from forests and trees lengthens the lifespan of road pavement.       The effect of Transportation on Forest Health: Transportation infrastructure destroys forest habitat and causes forest fragmentation, in addition to leading to human-wildlife conflicts."
Forests,TreeManagement,0.45,The effect of Forest Health on Tree Management: There are several indirect ways in which forests impact urban forests. Forests can provide a habitat corridor for urban forests or can act as a source of invasives.       The effect of Tree Management on Forest Health: Urban forests create habitat corridors that improve forest functions. Urban forests might also facilitate the spread of invasives or diseases. 
Forests,VulnerableCom,0.45,The effect of Forest Health on Vulnerable Communities: Forests can provide economic opportunities for some vulnerable populations who may choose to exploit forest resources for livelihoods and jobs.       The effect of Vulnerable Communities on Forest Health: Rural vulnerable populations who extract forest resources may mismanage forests and degrade forest health.
Forests,WarmSeason,0.75,"The effect of Forest Health on Warm Season: Because forests sequester carbon, they can moderate and lessen the impacts of the warm season climate changes. However, forests have a drastic effect on an area's microclimate.       The effect of Warm Season on Forest Health: The changing warm season climate impacts forest species composition, as some native species are highly susceptible to climatic changes. This is a slow, gradual change. Warmer wet seasons can cause some species to flourish, and others to falter. The changing growing season increases invasive species pressures, in addition to increased pest and pathogen pressures. "
